stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding
632,Sydney & Lourdes,45.034464,-74.737045,0
633,Thirteenth & Pitt,45.034487,-74.740125,0
634,Pitt & Sunnyside,45.036313,-74.74204,0
635,Pitt & Jobin (Northbound),45.038868,-74.744217,0
636,Pitt & Emma,45.039891,-74.745048,0
637,Pitt & Tollgate,45.045888,-74.750239,0
638,2053 Pitt,45.048615,-74.752651,0
639,Pitt & Wellington,45.050576,-74.754253,0
640,2135 Pitt,45.053586,-74.756757,0
641,Pitt & McKenzie,45.056073,-74.758775,0
642,Eamers Corners School,45.057706,-74.760081,0
643,Pitt & Mercier,45.059693,-74.761699,0
644,Pitt & Carrier,45.061613,-74.763225,0
645,Cornwall Centre Rd & Pitt,45.062677,-74.764823,0
707,Shearer & Beach,45.033198,-74.690244,0
708,Anderson & Shearer,45.031903,-74.69227,0
709,Second & Saint Peter's School,45.031868,-74.691328,0
710,Billington & Concorde,45.032804,-74.687303,0
711,Walton & Billington,45.030575,-74.686293,0
712,Walton & Ivan,45.028985,-74.688743,0
713,Walton & Bryden,45.027649,-74.691962,0
714,Anthony & Walton,45.027156,-74.693706,0
715,Anthony & First,45.029203,-74.695346,0
716,Second & Saint Lawrence High School,45.029323,-74.697739,0
717,Second & Danis,45.028386,-74.700017,0
718,Eastcourt Mall,45.026733,-74.703934,0
722,Second & McConnell,45.022519,-74.713966,0
723,Baldwin to Pitt & Second,45.021881,-74.71617,0
724,Second & Marlborough,45.021159,-74.718769,0
725,Second & Gloucester,45.020441,-74.721434,0
726,Adolphus to Pitt & Second,45.020015,-74.722887,0
727,Amelia to Pitt & Second,45.019423,-74.724961,0
730,Second & Sydney,45.019022,-74.725842,0
731,Amelia to Eastcourt Mall,45.019496,-74.724138,0
732,Adolphus to Eastcourt Mall,45.020135,-74.721952,0
733,Second & Gloucester,45.020657,-74.720068,0
734,Second & Lawrence,45.021526,-74.716974,0
735,Baldwin to Eastcourt Mall,45.021935,-74.7155,0
736,Second & McConnell,45.022745,-74.712831,0
737,Second & Guy,45.02389,-74.710178,0
738,Second & Saint Felix,45.025016,-74.70751,0
739,Second & Glengarry,45.02588,-74.705352,0
740,Second & Eastcourt Mall,45.026925,-74.702893,0
741,Second & Lefebvre,45.028757,-74.698662,0
742,Anthony & Second,45.030315,-74.696253,0
743,Anthony & Frances Ann,45.032318,-74.697896,0
744,Holy Cross & Anthony,45.035716,-74.699231,0
6103,Chateau Cornwall,45.018018,-74.723419,0
6104,Ultra Vista Apartments,45.021097,-74.72138,0
6107,Army Navy Club,45.01909,-74.717126,0
6111,Riverview Manor,45.020942,-74.694236,0
6112,Danis & Easton,45.022937,-74.695844,0
6113,Easton & Gardner,45.023898,-74.694129,0
6114,Easton & Anthony,45.024732,-74.692159,0
6115,Lorneville Apartments,45.028299,-74.696772,0
6116,Eastcourt Mall,45.027417,-74.703939,0
6118,McConnell Manor,45.025999,-74.714518,0
6119,McConnell Medical Centre,45.028579,-74.71738,0
6120,Cornwall Community Hospital,45.029501,-74.717954,0
6125,Cornwall Square,45.016629,-74.72603,0
6127,120 Augustus,45.016451,-74.730433,0
6128,24 Augustus,45.015717,-74.729963,0
6129,Saint Joseph's Villa,45.014975,-74.732067,0
6130,Legion,45.016492,-74.737303,0
6132,York & Water,45.014455,-74.731267,0
6134,Second & Seymour,45.0156,-74.738848,0
6139,Cumberland & Thirteenth,45.031998,-74.747654,0
6141,Leitch & Anderson,45.035816,-74.695311,0
6142,Leitch & Fraser,45.035907,-74.691632,0
6143,Leitch & McMartin,45.035137,-74.690779,0
6144,460 Seventh St.,45.022221,-74.745003,0
6146,Second & Bedford,45.016459,-74.735419,0
6147,Kirkman to Pitt & Second,45.019748,-74.698618,0
6148,Water & Cumberland,45.012995,-74.73523,0
6149,Second & Cornwall Transit,45.014809,-74.749205,0
6150,Ninth & Augustus,45.028043,-74.736783,0
6151,Brookdale & Seventh,45.020746,-74.745811,0
6152,Marlborough & Pacific,45.032294,-74.724604,0
7100,Cumberland & Fourth to Walmart,45.018597,-74.738487,0
